id,ponto_latitude,ponto_longitude,n_passagens_encontradas,primeira_data,ultima_data,cobertura_potencial,observacoes
P01,-15.539765,-47.972069,1166,2023-07-26,2026-08-30,sim,"Cobertura potencial inferida por metadados no envelope com buffer; produtos consultados/encontrados: SWOT_L2_HR_LAKESP_D, SWOT_L2_HR_PIXC_D, SWOT_L2_HR_RIVERSP_D. Validar interseccao fina em etapa posterior."
P02,-15.541334,-47.969589,1166,2023-07-26,2026-08-30,sim,"Cobertura potencial inferida por metadados no envelope com buffer; produtos consultados/encontrados: SWOT_L2_HR_LAKESP_D, SWOT_L2_HR_PIXC_D, SWOT_L2_HR_RIVERSP_D. Validar interseccao fina em etapa posterior."
P03,-15.541921,-47.981644,1166,2023-07-26,2026-08-30,sim,"Cobertura potencial inferida por metadados no envelope com buffer; produtos consultados/encontrados: SWOT_L2_HR_LAKESP_D, SWOT_L2_HR_PIXC_D, SWOT_L2_HR_RIVERSP_D. Validar interseccao fina em etapa posterior."
P04,-15.542892,-47.980763,1166,2023-07-26,2026-08-30,sim,"Cobertura potencial inferida por metadados no envelope com buffer; produtos consultados/encontrados: SWOT_L2_HR_LAKESP_D, SWOT_L2_HR_PIXC_D, SWOT_L2_HR_RIVERSP_D. Validar interseccao fina em etapa posterior."
P05,-15.542658,-47.979778,1166,2023-07-26,2026-08-30,sim,"Cobertura potencial inferida por metadados no envelope com buffer; produtos consultados/encontrados: SWOT_L2_HR_LAKESP_D, SWOT_L2_HR_PIXC_D, SWOT_L2_HR_RIVERSP_D. Validar interseccao fina em etapa posterior."
P06,-15.543083,-47.979286,1166,2023-07-26,2026-08-30,sim,"Cobertura potencial inferida por metadados no envelope com buffer; produtos consultados/encontrados: SWOT_L2_HR_LAKESP_D, SWOT_L2_HR_PIXC_D, SWOT_L2_HR_RIVERSP_D. Validar interseccao fina em etapa posterior."
P07,-15.541673,-47.979366,1166,2023-07-26,2026-08-30,sim,"Cobertura potencial inferida por metadados no envelope com buffer; produtos consultados/encontrados: SWOT_L2_HR_LAKESP_D, SWOT_L2_HR_PIXC_D, SWOT_L2_HR_RIVERSP_D. Validar interseccao fina em etapa posterior."
P08,-15.537334,-47.97575,1166,2023-07-26,2026-08-30,sim,"Cobertura potencial inferida por metadados no envelope com buffer; produtos consultados/encontrados: SWOT_L2_HR_LAKESP_D, SWOT_L2_HR_PIXC_D, SWOT_L2_HR_RIVERSP_D. Validar interseccao fina em etapa posterior."
P09,-15.537017,-47.975281,1166,2023-07-26,2026-08-30,sim,"Cobertura potencial inferida por metadados no envelope com buffer; produtos consultados/encontrados: SWOT_L2_HR_LAKESP_D, SWOT_L2_HR_PIXC_D, SWOT_L2_HR_RIVERSP_D. Validar interseccao fina em etapa posterior."
P10,-15.536032,-47.97686,1166,2023-07-26,2026-08-30,sim,"Cobertura potencial inferida por metadados no envelope com buffer; produtos consultados/encontrados: SWOT_L2_HR_LAKESP_D, SWOT_L2_HR_PIXC_D, SWOT_L2_HR_RIVERSP_D. Validar interseccao fina em etapa posterior."
P11,-15.546308,-47.973927,1166,2023-07-26,2026-08-30,sim,"Cobertura potencial inferida por metadados no envelope com buffer; produtos consultados/encontrados: SWOT_L2_HR_LAKESP_D, SWOT_L2_HR_PIXC_D, SWOT_L2_HR_RIVERSP_D. Validar interseccao fina em etapa posterior."
P12,-15.546803,-47.963135,1166,2023-07-26,2026-08-30,sim,"Cobertura potencial inferida por metadados no envelope com buffer; produtos consultados/encontrados: SWOT_L2_HR_LAKESP_D, SWOT_L2_HR_PIXC_D, SWOT_L2_HR_RIVERSP_D. Validar interseccao fina em etapa posterior."
P13,-15.544127,-47.964832,1166,2023-07-26,2026-08-30,sim,"Cobertura potencial inferida por metadados no envelope com buffer; produtos consultados/encontrados: SWOT_L2_HR_LAKESP_D, SWOT_L2_HR_PIXC_D, SWOT_L2_HR_RIVERSP_D. Validar interseccao fina em etapa posterior."
