pixel_id,latitude,longitude,classe_pixel,classe_pixel_significado,categoria_agua,qualidade_pixel,distancia_min_exutorio_m,janela_2km,janela_5km,janela_10km
0,-15.632726045503954,-48.00037592968948,1,land,terra,2049,9983.085534409043,False,False,True
1,-15.632780412515675,-48.000021971322326,1,land,terra,2049,9978.123856487486,False,False,True
2,-15.632793132661075,-47.99993917668547,1,land,terra,1,9976.98465000381,False,False,True
3,-15.63221486119296,-48.002410175741836,1,land,terra,1,9993.463012610646,False,False,True
4,-15.632185143535093,-48.00260367933902,1,land,terra,3,9996.707042556858,False,False,True
5,-15.632267169487235,-48.002069669513844,1,land,terra,0,9987.861022963956,False,False,True
6,-15.632216250224966,-48.00240121095828,1,land,terra,3,9993.31505954867,False,False,True
7,-15.63250171867142,-48.0005426198735,1,land,terra,2051,9964.386226825187,False,False,True
8,-15.632509122244267,-48.00049444243598,1,land,terra,2049,9963.69009143804,False,False,True
9,-15.632527139585623,-48.00037715886515,1,land,terra,2049,9962.00608099866,False,False,True
10,-15.631990191309432,-48.00257903468548,1,land,terra,1,9975.35156092222,False,False,True
11,-15.632024953834598,-48.002352733579414,1,land,terra,0,9971.552800884692,False,False,True
12,-15.632008739191145,-48.0024583225229,1,land,terra,1,9973.318415037442,False,False,True
13,-15.632335423986982,-48.0003313733622,1,land,terra,2049,9940.253512782067,False,False,True
14,-15.632347207454687,-48.00025467623078,1,land,terra,2049,9939.15993683434,False,False,True
15,-15.632360520718299,-48.000168018126374,1,land,terra,2049,9937.932541549177,False,False,True
16,-15.631898930786697,-48.00187931470049,1,land,terra,1,9942.810619966005,False,False,True
17,-15.631816622785255,-48.00241521081597,1,land,terra,1,9951.648723363009,False,False,True
18,-15.632144132591055,-48.00028288484759,1,land,terra,1,9918.463376555692,False,False,True
19,-15.63214552431102,-48.00027384375193,1,land,terra,2049,9918.334289078497,False,False,True
20,-15.632157217526187,-48.00019772888004,1,land,terra,1,9917.24884655561,False,False,True
21,-15.631769577844722,-48.00142770949287,1,land,terra,1,9914.610201500675,False,False,True
22,-15.631952642238915,-48.00023581212952,1,land,terra,1,9896.69560671258,False,False,True
23,-15.631972511803555,-48.000106456825904,1,land,terra,1,9894.851613890009,False,False,True
24,-15.63173288850355,-48.00037266306873,1,land,terra,3,9877.58486317109,False,False,True
25,-15.625157805196642,-48.003070241587125,1,land,terra,1,9276.130006624646,False,False,True
