rank_global,id,produto,cycle,pass,tile,distancia_m,dentro_geometria,granule_id
1,P01,RIVERSP,055,227,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01
1,P02,RIVERSP,055,227,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01
1,P03,RIVERSP,055,227,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01
1,P04,RIVERSP,055,227,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01
1,P05,RIVERSP,055,227,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01
1,P06,RIVERSP,055,227,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01
1,P07,RIVERSP,055,227,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01
1,P08,RIVERSP,055,227,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01
1,P09,RIVERSP,055,227,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01
1,P10,RIVERSP,055,227,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01
1,P11,RIVERSP,055,227,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01
1,P12,RIVERSP,055,227,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01
1,P13,RIVERSP,055,227,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01
2,P01,RIVERSP,055,158,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_158_SA_20260826T130917_20260826T131837_PID0_01
2,P02,RIVERSP,055,158,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_158_SA_20260826T130917_20260826T131837_PID0_01
2,P03,RIVERSP,055,158,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_158_SA_20260826T130917_20260826T131837_PID0_01
2,P04,RIVERSP,055,158,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_158_SA_20260826T130917_20260826T131837_PID0_01
2,P05,RIVERSP,055,158,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_158_SA_20260826T130917_20260826T131837_PID0_01
2,P06,RIVERSP,055,158,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_158_SA_20260826T130917_20260826T131837_PID0_01
2,P07,RIVERSP,055,158,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_158_SA_20260826T130917_20260826T131837_PID0_01
2,P08,RIVERSP,055,158,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_158_SA_20260826T130917_20260826T131837_PID0_01
2,P09,RIVERSP,055,158,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_158_SA_20260826T130917_20260826T131837_PID0_01
2,P10,RIVERSP,055,158,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_158_SA_20260826T130917_20260826T131837_PID0_01
2,P11,RIVERSP,055,158,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_158_SA_20260826T130917_20260826T131837_PID0_01
2,P12,RIVERSP,055,158,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_158_SA_20260826T130917_20260826T131837_PID0_01
2,P13,RIVERSP,055,158,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_158_SA_20260826T130917_20260826T131837_PID0_01
3,P01,RIVERSP,055,158,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_158_SA_20260826T130917_20260826T131837_PID0_02
3,P02,RIVERSP,055,158,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_158_SA_20260826T130917_20260826T131837_PID0_02
3,P03,RIVERSP,055,158,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_158_SA_20260826T130917_20260826T131837_PID0_02
3,P04,RIVERSP,055,158,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_158_SA_20260826T130917_20260826T131837_PID0_02
3,P05,RIVERSP,055,158,SA,0.0,True,SWOT_L2_HR_RiverSP_Reach_055_158_SA_20260826T130917_20260826T131837_PID0_02
