rank,produto,cycle,pass,tile,data_inicio,data_fim,tamanho_mb,n_exutorios_dentro,distancia_min_m,distancia_mediana_m,tipo_geometria_usada,granule_id,download_url,motivo_rank
1,RIVERSP,055,227,SA,2026-08-29T00:11:30Z,2026-08-29T00:20:36Z,6.526829719543457,13,0.0,0.0,bounding_box,SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01,https://archive.swot.podaac.earthdata.nasa.gov/podaac-swot-ops-cumulus-protected/SWOT_L2_HR_RiverSP_D/SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01.zip,13 exutorios dentro/intersectando a geometria do granulo.
2,RIVERSP,055,158,SA,2026-08-26T13:09:17Z,2026-08-26T13:18:37Z,8.511759757995605,13,0.0,0.0,bounding_box,SWOT_L2_HR_RiverSP_Reach_055_158_SA_20260826T130917_20260826T131837_PID0_01,https://archive.swot.podaac.earthdata.nasa.gov/podaac-swot-ops-cumulus-protected/SWOT_L2_HR_RiverSP_D/SWOT_L2_HR_RiverSP_Reach_055_158_SA_20260826T130917_20260826T131837_PID0_01.zip,13 exutorios dentro/intersectando a geometria do granulo.
3,RIVERSP,055,158,SA,2026-08-26T13:09:17Z,2026-08-26T13:18:37Z,8.511926651000977,13,0.0,0.0,bounding_box,SWOT_L2_HR_RiverSP_Reach_055_158_SA_20260826T130917_20260826T131837_PID0_02,https://archive.swot.podaac.earthdata.nasa.gov/podaac-swot-ops-cumulus-protected/SWOT_L2_HR_RiverSP_D/SWOT_L2_HR_RiverSP_Reach_055_158_SA_20260826T130917_20260826T131837_PID0_02.zip,13 exutorios dentro/intersectando a geometria do granulo.
4,RIVERSP,055,130,SA,2026-08-25T13:09:44Z,2026-08-25T13:17:26Z,8.500367164611816,13,0.0,0.0,bounding_box,SWOT_L2_HR_RiverSP_Reach_055_130_SA_20260825T130944_20260825T131726_PID0_01,https://archive.swot.podaac.earthdata.nasa.gov/podaac-swot-ops-cumulus-protected/SWOT_L2_HR_RiverSP_D/SWOT_L2_HR_RiverSP_Reach_055_130_SA_20260825T130944_20260825T131726_PID0_01.zip,13 exutorios dentro/intersectando a geometria do granulo.
5,RIVERSP,054,533,SA,2026-08-19T01:43:01Z,2026-08-19T01:58:23Z,8.282011985778809,13,0.0,0.0,bounding_box,SWOT_L2_HR_RiverSP_Reach_054_533_SA_20260819T014301_20260819T015823_PID0_01,https://archive.swot.podaac.earthdata.nasa.gov/podaac-swot-ops-cumulus-protected/SWOT_L2_HR_RiverSP_D/SWOT_L2_HR_RiverSP_Reach_054_533_SA_20260819T014301_20260819T015823_PID0_01.zip,13 exutorios dentro/intersectando a geometria do granulo.
6,RIVERSP,054,505,SA,2026-08-18T01:49:25Z,2026-08-18T01:57:38Z,6.002925872802734,13,0.0,0.0,bounding_box,SWOT_L2_HR_RiverSP_Reach_054_505_SA_20260818T014925_20260818T015738_PID0_01,https://archive.swot.podaac.earthdata.nasa.gov/podaac-swot-ops-cumulus-protected/SWOT_L2_HR_RiverSP_D/SWOT_L2_HR_RiverSP_Reach_054_505_SA_20260818T014925_20260818T015738_PID0_01.zip,13 exutorios dentro/intersectando a geometria do granulo.
7,RIVERSP,054,464,SA,2026-08-16T14:46:52Z,2026-08-16T14:57:03Z,9.110350608825684,13,0.0,0.0,bounding_box,SWOT_L2_HR_RiverSP_Reach_054_464_SA_20260816T144652_20260816T145703_PID0_01,https://archive.swot.podaac.earthdata.nasa.gov/podaac-swot-ops-cumulus-protected/SWOT_L2_HR_RiverSP_D/SWOT_L2_HR_RiverSP_Reach_054_464_SA_20260816T144652_20260816T145703_PID0_01.zip,13 exutorios dentro/intersectando a geometria do granulo.
8,RIVERSP,054,436,SA,2026-08-15T14:46:39Z,2026-08-15T14:55:21Z,11.000909805297852,13,0.0,0.0,bounding_box,SWOT_L2_HR_RiverSP_Reach_054_436_SA_20260815T144639_20260815T145521_PID0_01,https://archive.swot.podaac.earthdata.nasa.gov/podaac-swot-ops-cumulus-protected/SWOT_L2_HR_RiverSP_D/SWOT_L2_HR_RiverSP_Reach_054_436_SA_20260815T144639_20260815T145521_PID0_01.zip,13 exutorios dentro/intersectando a geometria do granulo.
9,RIVERSP,054,408,SA,2026-08-14T14:47:36Z,2026-08-14T14:54:31Z,6.156073570251465,13,0.0,0.0,bounding_box,SWOT_L2_HR_RiverSP_Reach_054_408_SA_20260814T144736_20260814T145431_PID0_01,https://archive.swot.podaac.earthdata.nasa.gov/podaac-swot-ops-cumulus-protected/SWOT_L2_HR_RiverSP_D/SWOT_L2_HR_RiverSP_Reach_054_408_SA_20260814T144736_20260814T145431_PID0_01.zip,13 exutorios dentro/intersectando a geometria do granulo.
10,RIVERSP,054,408,SA,2026-08-14T14:47:36Z,2026-08-14T14:54:31Z,6.156073570251465,13,0.0,0.0,bounding_box,SWOT_L2_HR_RiverSP_Reach_054_408_SA_20260814T144736_20260814T145431_PID0_02,https://archive.swot.podaac.earthdata.nasa.gov/podaac-swot-ops-cumulus-protected/SWOT_L2_HR_RiverSP_D/SWOT_L2_HR_RiverSP_Reach_054_408_SA_20260814T144736_20260814T145431_PID0_02.zip,13 exutorios dentro/intersectando a geometria do granulo.
11,RIVERSP,054,255,SA,2026-08-09T03:26:02Z,2026-08-09T03:36:17Z,10.732728004455566,13,0.0,0.0,bounding_box,SWOT_L2_HR_RiverSP_Reach_054_255_SA_20260809T032602_20260809T033617_PID0_01,https://archive.swot.podaac.earthdata.nasa.gov/podaac-swot-ops-cumulus-protected/SWOT_L2_HR_RiverSP_D/SWOT_L2_HR_RiverSP_Reach_054_255_SA_20260809T032602_20260809T033617_PID0_01.zip,13 exutorios dentro/intersectando a geometria do granulo.
12,RIVERSP,054,227,SA,2026-08-08T03:26:25Z,2026-08-08T03:35:31Z,6.469080924987793,13,0.0,0.0,bounding_box,SWOT_L2_HR_RiverSP_Reach_054_227_SA_20260808T032625_20260808T033531_PID0_01,https://archive.swot.podaac.earthdata.nasa.gov/podaac-swot-ops-cumulus-protected/SWOT_L2_HR_RiverSP_D/SWOT_L2_HR_RiverSP_Reach_054_227_SA_20260808T032625_20260808T033531_PID0_01.zip,13 exutorios dentro/intersectando a geometria do granulo.
13,RIVERSP,054,227,SA,2026-08-08T03:26:25Z,2026-08-08T03:35:31Z,6.57525634765625,13,0.0,0.0,bounding_box,SWOT_L2_HR_RiverSP_Reach_054_227_SA_20260808T032625_20260808T033531_PID0_02,https://archive.swot.podaac.earthdata.nasa.gov/podaac-swot-ops-cumulus-protected/SWOT_L2_HR_RiverSP_D/SWOT_L2_HR_RiverSP_Reach_054_227_SA_20260808T032625_20260808T033531_PID0_02.zip,13 exutorios dentro/intersectando a geometria do granulo.
14,RIVERSP,054,158,SA,2026-08-05T16:24:12Z,2026-08-05T16:33:33Z,8.51192855834961,13,0.0,0.0,bounding_box,SWOT_L2_HR_RiverSP_Reach_054_158_SA_20260805T162412_20260805T163333_PID0_01,https://archive.swot.podaac.earthdata.nasa.gov/podaac-swot-ops-cumulus-protected/SWOT_L2_HR_RiverSP_D/SWOT_L2_HR_RiverSP_Reach_054_158_SA_20260805T162412_20260805T163333_PID0_01.zip,13 exutorios dentro/intersectando a geometria do granulo.
15,RIVERSP,054,130,SA,2026-08-04T16:24:40Z,2026-08-04T16:32:21Z,8.419477462768555,13,0.0,0.0,bounding_box,SWOT_L2_HR_RiverSP_Reach_054_130_SA_20260804T162440_20260804T163221_PID0_01,https://archive.swot.podaac.earthdata.nasa.gov/podaac-swot-ops-cumulus-protected/SWOT_L2_HR_RiverSP_D/SWOT_L2_HR_RiverSP_Reach_054_130_SA_20260804T162440_20260804T163221_PID0_01.zip,13 exutorios dentro/intersectando a geometria do granulo.
16,RIVERSP,054,130,SA,2026-08-04T16:24:40Z,2026-08-04T16:32:21Z,8.500676155090332,13,0.0,0.0,bounding_box,SWOT_L2_HR_RiverSP_Reach_054_130_SA_20260804T162440_20260804T163221_PID0_02,https://archive.swot.podaac.earthdata.nasa.gov/podaac-swot-ops-cumulus-protected/SWOT_L2_HR_RiverSP_D/SWOT_L2_HR_RiverSP_Reach_054_130_SA_20260804T162440_20260804T163221_PID0_02.zip,13 exutorios dentro/intersectando a geometria do granulo.
