id,latitude,longitude,cycle,pass,tile,granule_id,distancia_m_feicao_lakesp,feicao_mais_proxima_id,water_body_name,suporte_lakesp,observacoes
P01,-15.539765,-47.972069,055,227,SA,SWOT_L2_HR_LakeSP_Prior_055_227_SA_20260829T001130_20260829T002036_PID0_01,13795.89,6420523333,BARRAGEM SANTA MARIA,nao,"distancia > 500 m; attrs: {'lake_id': '6420523333', 'obs_id': '642127L000101', 'lake_name': 'BARRAGEM SANTA MARIA', 'wse': np.float64(1072.231), 'area_total': np.float64(7.476487), 'area_detct': np.float64(7.202589), 'quality_f': np.int32(0), 'dark_frac': np.float64(0.036635)}"
P02,-15.541334,-47.969589,055,227,SA,SWOT_L2_HR_LakeSP_Prior_055_227_SA_20260829T001130_20260829T002036_PID0_01,13621.62,6420523333,BARRAGEM SANTA MARIA,nao,"distancia > 500 m; attrs: {'lake_id': '6420523333', 'obs_id': '642127L000101', 'lake_name': 'BARRAGEM SANTA MARIA', 'wse': np.float64(1072.231), 'area_total': np.float64(7.476487), 'area_detct': np.float64(7.202589), 'quality_f': np.int32(0), 'dark_frac': np.float64(0.036635)}"
P03,-15.541921,-47.981644,055,227,SA,SWOT_L2_HR_LakeSP_Prior_055_227_SA_20260829T001130_20260829T002036_PID0_01,13603.44,6420523333,BARRAGEM SANTA MARIA,nao,"distancia > 500 m; attrs: {'lake_id': '6420523333', 'obs_id': '642127L000101', 'lake_name': 'BARRAGEM SANTA MARIA', 'wse': np.float64(1072.231), 'area_total': np.float64(7.476487), 'area_detct': np.float64(7.202589), 'quality_f': np.int32(0), 'dark_frac': np.float64(0.036635)}"
P04,-15.542892,-47.980763,055,227,SA,SWOT_L2_HR_LakeSP_Prior_055_227_SA_20260829T001130_20260829T002036_PID0_01,13491.35,6420523333,BARRAGEM SANTA MARIA,nao,"distancia > 500 m; attrs: {'lake_id': '6420523333', 'obs_id': '642127L000101', 'lake_name': 'BARRAGEM SANTA MARIA', 'wse': np.float64(1072.231), 'area_total': np.float64(7.476487), 'area_detct': np.float64(7.202589), 'quality_f': np.int32(0), 'dark_frac': np.float64(0.036635)}"
P05,-15.542658,-47.979778,055,227,SA,SWOT_L2_HR_LakeSP_Prior_055_227_SA_20260829T001130_20260829T002036_PID0_01,13509.84,6420523333,BARRAGEM SANTA MARIA,nao,"distancia > 500 m; attrs: {'lake_id': '6420523333', 'obs_id': '642127L000101', 'lake_name': 'BARRAGEM SANTA MARIA', 'wse': np.float64(1072.231), 'area_total': np.float64(7.476487), 'area_detct': np.float64(7.202589), 'quality_f': np.int32(0), 'dark_frac': np.float64(0.036635)}"
P06,-15.543083,-47.979286,055,227,SA,SWOT_L2_HR_LakeSP_Prior_055_227_SA_20260829T001130_20260829T002036_PID0_01,13459.5,6420523333,BARRAGEM SANTA MARIA,nao,"distancia > 500 m; attrs: {'lake_id': '6420523333', 'obs_id': '642127L000101', 'lake_name': 'BARRAGEM SANTA MARIA', 'wse': np.float64(1072.231), 'area_total': np.float64(7.476487), 'area_detct': np.float64(7.202589), 'quality_f': np.int32(0), 'dark_frac': np.float64(0.036635)}"
P07,-15.541673,-47.979366,055,227,SA,SWOT_L2_HR_LakeSP_Prior_055_227_SA_20260829T001130_20260829T002036_PID0_01,13615.89,6420523333,BARRAGEM SANTA MARIA,nao,"distancia > 500 m; attrs: {'lake_id': '6420523333', 'obs_id': '642127L000101', 'lake_name': 'BARRAGEM SANTA MARIA', 'wse': np.float64(1072.231), 'area_total': np.float64(7.476487), 'area_detct': np.float64(7.202589), 'quality_f': np.int32(0), 'dark_frac': np.float64(0.036635)}"
P08,-15.537334,-47.97575,055,227,SA,SWOT_L2_HR_LakeSP_Prior_055_227_SA_20260829T001130_20260829T002036_PID0_01,14075.14,6420523333,BARRAGEM SANTA MARIA,nao,"distancia > 500 m; attrs: {'lake_id': '6420523333', 'obs_id': '642127L000101', 'lake_name': 'BARRAGEM SANTA MARIA', 'wse': np.float64(1072.231), 'area_total': np.float64(7.476487), 'area_detct': np.float64(7.202589), 'quality_f': np.int32(0), 'dark_frac': np.float64(0.036635)}"
P09,-15.537017,-47.975281,055,227,SA,SWOT_L2_HR_LakeSP_Prior_055_227_SA_20260829T001130_20260829T002036_PID0_01,14108.33,6420523333,BARRAGEM SANTA MARIA,nao,"distancia > 500 m; attrs: {'lake_id': '6420523333', 'obs_id': '642127L000101', 'lake_name': 'BARRAGEM SANTA MARIA', 'wse': np.float64(1072.231), 'area_total': np.float64(7.476487), 'area_detct': np.float64(7.202589), 'quality_f': np.int32(0), 'dark_frac': np.float64(0.036635)}"
P10,-15.536032,-47.97686,055,227,SA,SWOT_L2_HR_LakeSP_Prior_055_227_SA_20260829T001130_20260829T002036_PID0_01,14224.37,6420523333,BARRAGEM SANTA MARIA,nao,"distancia > 500 m; attrs: {'lake_id': '6420523333', 'obs_id': '642127L000101', 'lake_name': 'BARRAGEM SANTA MARIA', 'wse': np.float64(1072.231), 'area_total': np.float64(7.476487), 'area_detct': np.float64(7.202589), 'quality_f': np.int32(0), 'dark_frac': np.float64(0.036635)}"
