id,latitude,longitude,cycle,pass,tile,granule_id,distancia_m_pixel_pixc,classe_pixel,qualidade_pixel,suporte_pixc,observacoes
P01,-15.539765,-47.972069,055,227,127L,SWOT_L2_HR_PIXC_055_227_127L_20260829T001610_20260829T001621_PID0_01,11.28,1,2049,indeterminado,"pixel PIXC proximo, mas qualidade/flag exige interpretacao: 2049"
P02,-15.541334,-47.969589,055,227,127L,SWOT_L2_HR_PIXC_055_227_127L_20260829T001610_20260829T001621_PID0_01,25.67,1,1,indeterminado,"pixel PIXC proximo, mas qualidade/flag exige interpretacao: 1"
P03,-15.541921,-47.981644,055,227,127L,SWOT_L2_HR_PIXC_055_227_127L_20260829T001610_20260829T001621_PID0_01,30.64,1,1,indeterminado,"pixel PIXC proximo, mas qualidade/flag exige interpretacao: 1"
P04,-15.542892,-47.980763,055,227,127L,SWOT_L2_HR_PIXC_055_227_127L_20260829T001610_20260829T001621_PID0_01,24.93,1,3,indeterminado,"pixel PIXC proximo, mas qualidade/flag exige interpretacao: 3"
P05,-15.542658,-47.979778,055,227,127L,SWOT_L2_HR_PIXC_055_227_127L_20260829T001610_20260829T001621_PID0_01,13.65,1,1,indeterminado,"pixel PIXC proximo, mas qualidade/flag exige interpretacao: 1"
P06,-15.543083,-47.979286,055,227,127L,SWOT_L2_HR_PIXC_055_227_127L_20260829T001610_20260829T001621_PID0_01,12.35,1,3,indeterminado,"pixel PIXC proximo, mas qualidade/flag exige interpretacao: 3"
P07,-15.541673,-47.979366,055,227,127L,SWOT_L2_HR_PIXC_055_227_127L_20260829T001610_20260829T001621_PID0_01,27.22,2,1,indeterminado,"pixel PIXC proximo, mas qualidade/flag exige interpretacao: 1"
P08,-15.537334,-47.97575,055,227,127L,SWOT_L2_HR_PIXC_055_227_127L_20260829T001610_20260829T001621_PID0_01,29.85,1,1,indeterminado,"pixel PIXC proximo, mas qualidade/flag exige interpretacao: 1"
P09,-15.537017,-47.975281,055,227,127L,SWOT_L2_HR_PIXC_055_227_127L_20260829T001610_20260829T001621_PID0_01,6.81,1,2,indeterminado,"pixel PIXC proximo, mas qualidade/flag exige interpretacao: 2"
P10,-15.536032,-47.97686,055,227,127L,SWOT_L2_HR_PIXC_055_227_127L_20260829T001610_20260829T001621_PID0_01,16.14,1,1,indeterminado,"pixel PIXC proximo, mas qualidade/flag exige interpretacao: 1"
P11,-15.546308,-47.973927,055,227,127L,SWOT_L2_HR_PIXC_055_227_127L_20260829T001610_20260829T001621_PID0_01,277.82,1,1,indeterminado,"pixel PIXC proximo, mas qualidade/flag exige interpretacao: 1"
P12,-15.546803,-47.963135,055,227,127L,SWOT_L2_HR_PIXC_055_227_127L_20260829T001610_20260829T001621_PID0_01,19.48,1,1,indeterminado,"pixel PIXC proximo, mas qualidade/flag exige interpretacao: 1"
P13,-15.544127,-47.964832,055,227,127L,SWOT_L2_HR_PIXC_055_227_127L_20260829T001610_20260829T001621_PID0_01,27.98,1,1,indeterminado,"pixel PIXC proximo, mas qualidade/flag exige interpretacao: 1"
