id,latitude,longitude,distancia_m_feicao_riversp,feicao_mais_proxima_id,suporte_riversp,observacoes
P01,-15.539765,-47.972069,162704.85,62449000141,nao,"Distancia ao RiverSP mais proximo: 162704.9 m; limite preliminar: 5000 m; attrs: {'reach_id': '62449000141', 'river_name': 'Rio das Almas', 'wse': np.float64(-999999999999.0), 'width': np.float64(-999999999999.0), 'slope': np.float64(-999999999999.0), 'dark_frac': np.float64(-999999999999.0)}"
P02,-15.541334,-47.969589,162973.55,62449000141,nao,"Distancia ao RiverSP mais proximo: 162973.6 m; limite preliminar: 5000 m; attrs: {'reach_id': '62449000141', 'river_name': 'Rio das Almas', 'wse': np.float64(-999999999999.0), 'width': np.float64(-999999999999.0), 'slope': np.float64(-999999999999.0), 'dark_frac': np.float64(-999999999999.0)}"
P03,-15.541921,-47.981644,161680.36,62449000141,nao,"Distancia ao RiverSP mais proximo: 161680.4 m; limite preliminar: 5000 m; attrs: {'reach_id': '62449000141', 'river_name': 'Rio das Almas', 'wse': np.float64(-999999999999.0), 'width': np.float64(-999999999999.0), 'slope': np.float64(-999999999999.0), 'dark_frac': np.float64(-999999999999.0)}"
P04,-15.542892,-47.980763,161776.61,62449000141,nao,"Distancia ao RiverSP mais proximo: 161776.6 m; limite preliminar: 5000 m; attrs: {'reach_id': '62449000141', 'river_name': 'Rio das Almas', 'wse': np.float64(-999999999999.0), 'width': np.float64(-999999999999.0), 'slope': np.float64(-999999999999.0), 'dark_frac': np.float64(-999999999999.0)}"
P05,-15.542658,-47.979778,161881.94,62449000141,nao,"Distancia ao RiverSP mais proximo: 161881.9 m; limite preliminar: 5000 m; attrs: {'reach_id': '62449000141', 'river_name': 'Rio das Almas', 'wse': np.float64(-999999999999.0), 'width': np.float64(-999999999999.0), 'slope': np.float64(-999999999999.0), 'dark_frac': np.float64(-999999999999.0)}"
P06,-15.543083,-47.979286,161935.51,62449000141,nao,"Distancia ao RiverSP mais proximo: 161935.5 m; limite preliminar: 5000 m; attrs: {'reach_id': '62449000141', 'river_name': 'Rio das Almas', 'wse': np.float64(-999999999999.0), 'width': np.float64(-999999999999.0), 'slope': np.float64(-999999999999.0), 'dark_frac': np.float64(-999999999999.0)}"
P07,-15.541673,-47.979366,161924.5,62449000141,nao,"Distancia ao RiverSP mais proximo: 161924.5 m; limite preliminar: 5000 m; attrs: {'reach_id': '62449000141', 'river_name': 'Rio das Almas', 'wse': np.float64(-999999999999.0), 'width': np.float64(-999999999999.0), 'slope': np.float64(-999999999999.0), 'dark_frac': np.float64(-999999999999.0)}"
P08,-15.537334,-47.97575,162306.21,62449000141,nao,"Distancia ao RiverSP mais proximo: 162306.2 m; limite preliminar: 5000 m; attrs: {'reach_id': '62449000141', 'river_name': 'Rio das Almas', 'wse': np.float64(-999999999999.0), 'width': np.float64(-999999999999.0), 'slope': np.float64(-999999999999.0), 'dark_frac': np.float64(-999999999999.0)}"
P09,-15.537017,-47.975281,162356.14,62449000141,nao,"Distancia ao RiverSP mais proximo: 162356.1 m; limite preliminar: 5000 m; attrs: {'reach_id': '62449000141', 'river_name': 'Rio das Almas', 'wse': np.float64(-999999999999.0), 'width': np.float64(-999999999999.0), 'slope': np.float64(-999999999999.0), 'dark_frac': np.float64(-999999999999.0)}"
P10,-15.536032,-47.97686,162185.37,62449000141,nao,"Distancia ao RiverSP mais proximo: 162185.4 m; limite preliminar: 5000 m; attrs: {'reach_id': '62449000141', 'river_name': 'Rio das Almas', 'wse': np.float64(-999999999999.0), 'width': np.float64(-999999999999.0), 'slope': np.float64(-999999999999.0), 'dark_frac': np.float64(-999999999999.0)}"
P11,-15.546308,-47.973927,162516.89,62449000141,nao,"Distancia ao RiverSP mais proximo: 162516.9 m; limite preliminar: 5000 m; attrs: {'reach_id': '62449000141', 'river_name': 'Rio das Almas', 'wse': np.float64(-999999999999.0), 'width': np.float64(-999999999999.0), 'slope': np.float64(-999999999999.0), 'dark_frac': np.float64(-999999999999.0)}"
P12,-15.546803,-47.963135,163676.37,62449000141,nao,"Distancia ao RiverSP mais proximo: 163676.4 m; limite preliminar: 5000 m; attrs: {'reach_id': '62449000141', 'river_name': 'Rio das Almas', 'wse': np.float64(-999999999999.0), 'width': np.float64(-999999999999.0), 'slope': np.float64(-999999999999.0), 'dark_frac': np.float64(-999999999999.0)}"
P13,-15.544127,-47.964832,163489.05,62449000141,nao,"Distancia ao RiverSP mais proximo: 163489.0 m; limite preliminar: 5000 m; attrs: {'reach_id': '62449000141', 'river_name': 'Rio das Almas', 'wse': np.float64(-999999999999.0), 'width': np.float64(-999999999999.0), 'slope': np.float64(-999999999999.0), 'dark_frac': np.float64(-999999999999.0)}"
