id,latitude,longitude,cycle,pass,tile,granule_id,distancia_m_feicao_riversp,feicao_mais_proxima_id,river_name,suporte_riversp,observacoes
P01,-15.539765,-47.972069,055,227,SA,SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01,25099.91,62448000261,no_data,nao,"distancia > 500 m; attrs: {'reach_id': '62448000261', 'river_name': 'no_data', 'wse': np.float64(659.4034), 'width': np.float64(16.170507), 'slope': np.float64(-0.0010382836), 'dark_frac': np.float64(0.0)}"
P02,-15.541334,-47.969589,055,227,SA,SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01,25272.6,62448000261,no_data,nao,"distancia > 500 m; attrs: {'reach_id': '62448000261', 'river_name': 'no_data', 'wse': np.float64(659.4034), 'width': np.float64(16.170507), 'slope': np.float64(-0.0010382836), 'dark_frac': np.float64(0.0)}"
P03,-15.541921,-47.981644,055,227,SA,SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01,25369.07,62448000261,no_data,nao,"distancia > 500 m; attrs: {'reach_id': '62448000261', 'river_name': 'no_data', 'wse': np.float64(659.4034), 'width': np.float64(16.170507), 'slope': np.float64(-0.0010382836), 'dark_frac': np.float64(0.0)}"
P04,-15.542892,-47.980763,055,227,SA,SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01,25471.95,62448000261,no_data,nao,"distancia > 500 m; attrs: {'reach_id': '62448000261', 'river_name': 'no_data', 'wse': np.float64(659.4034), 'width': np.float64(16.170507), 'slope': np.float64(-0.0010382836), 'dark_frac': np.float64(0.0)}"
P05,-15.542658,-47.979778,055,227,SA,SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01,25441.42,62448000261,no_data,nao,"distancia > 500 m; attrs: {'reach_id': '62448000261', 'river_name': 'no_data', 'wse': np.float64(659.4034), 'width': np.float64(16.170507), 'slope': np.float64(-0.0010382836), 'dark_frac': np.float64(0.0)}"
P06,-15.543083,-47.979286,055,227,SA,SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01,25486.3,62448000261,no_data,nao,"distancia > 500 m; attrs: {'reach_id': '62448000261', 'river_name': 'no_data', 'wse': np.float64(659.4034), 'width': np.float64(16.170507), 'slope': np.float64(-0.0010382836), 'dark_frac': np.float64(0.0)}"
P07,-15.541673,-47.979366,055,227,SA,SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01,25330.61,62448000261,no_data,nao,"distancia > 500 m; attrs: {'reach_id': '62448000261', 'river_name': 'no_data', 'wse': np.float64(659.4034), 'width': np.float64(16.170507), 'slope': np.float64(-0.0010382836), 'dark_frac': np.float64(0.0)}"
P08,-15.537334,-47.97575,055,227,SA,SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01,24837.58,62448000261,no_data,nao,"distancia > 500 m; attrs: {'reach_id': '62448000261', 'river_name': 'no_data', 'wse': np.float64(659.4034), 'width': np.float64(16.170507), 'slope': np.float64(-0.0010382836), 'dark_frac': np.float64(0.0)}"
P09,-15.537017,-47.975281,055,227,SA,SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01,24801.25,62448000261,no_data,nao,"distancia > 500 m; attrs: {'reach_id': '62448000261', 'river_name': 'no_data', 'wse': np.float64(659.4034), 'width': np.float64(16.170507), 'slope': np.float64(-0.0010382836), 'dark_frac': np.float64(0.0)}"
P10,-15.536032,-47.97686,055,227,SA,SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01,24696.76,62448000261,no_data,nao,"distancia > 500 m; attrs: {'reach_id': '62448000261', 'river_name': 'no_data', 'wse': np.float64(659.4034), 'width': np.float64(16.170507), 'slope': np.float64(-0.0010382836), 'dark_frac': np.float64(0.0)}"
P11,-15.546308,-47.973927,055,227,SA,SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01,25827.1,62448000261,no_data,nao,"distancia > 500 m; attrs: {'reach_id': '62448000261', 'river_name': 'no_data', 'wse': np.float64(659.4034), 'width': np.float64(16.170507), 'slope': np.float64(-0.0010382836), 'dark_frac': np.float64(0.0)}"
P12,-15.546803,-47.963135,055,227,SA,SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01,25888.42,62448000261,no_data,nao,"distancia > 500 m; attrs: {'reach_id': '62448000261', 'river_name': 'no_data', 'wse': np.float64(659.4034), 'width': np.float64(16.170507), 'slope': np.float64(-0.0010382836), 'dark_frac': np.float64(0.0)}"
P13,-15.544127,-47.964832,055,227,SA,SWOT_L2_HR_RiverSP_Reach_055_227_SA_20260829T001130_20260829T002036_PID0_01,25587.66,62448000261,no_data,nao,"distancia > 500 m; attrs: {'reach_id': '62448000261', 'river_name': 'no_data', 'wse': np.float64(659.4034), 'width': np.float64(16.170507), 'slope': np.float64(-0.0010382836), 'dark_frac': np.float64(0.0)}"
